판매일,도서명,분야,정가,판매부수,적립회원
2026-06-08,달빛 도서관,소설,"13,500",1,Y
2026-06-02,  미드나잇 라이브러리 ,소설,"15,800",8,Y
2026-06-08,  고요한 아침 ,에세이,"12,000",4,N
2026-06-07,달빛 도서관,소설,"13,500",,N
2026-06-19,코스모스 노트  ,만화,8500,5,N
2026-06-14,느린 산책,에세이,"11,000",5,N
2026-06-15,python 실전,자기계발,"16,500",4,Y
2026-06-25,python 완전정복  ,자기계발,"22,000",999,Y
2026-06-20,별을 헤는 밤,에세이,"10,800",1,N
2026-06-20,  별을 헤는 밤 ,에세이,10800,3,N
2026-06-02,돈의 속성,자기계발,"16,500",2,Y
2026-06-28,말풍선 클럽,만화,"6,500",6,N
2026-06-21,python 실전  ,자기계발,16500,4,N
2026-06-03,바람의 언덕,소설,"14,000",4,Y
2026-06-25,  별을 헤는 밤 ,에세이,"10,800",3,N
2026-06-10,python 알고리즘,자기계발,18000,8,N
2026-06-18,미드나잇 라이브러리,소설,15800,7,Y
2026-06-01,미드나잇 라이브러리,소설,15800,5,Y
2026-06-10,  느린 산책 ,에세이,"11,000",4,N
2026-06-26,python 완전정복,자기계발,22000,,Y
2026-06-08,  말풍선 클럽 ,만화,"6,500",4,N
2026-06-21,네 컷 극장,만화,"7,500",2,Y
2026-06-26,네 컷 극장,만화,7500,1,N
2026-06-06,바람의 언덕,소설,14000,5,Y
2026-06-08,돈의 속성  ,자기계발,"16,500",2,Y
2026-06-28,바람의 언덕,소설,"14,000",3,N
2026-06-27,  별을 헤는 밤 ,에세이,"10,800",4,Y
2026-06-13,코스모스 노트,만화,8500,999,N
2026-06-16,돈의 속성,자기계발,16500,2,N
2026-06-11,미드나잇 라이브러리,소설,"15,800",4,Y
2026-06-01,별을 헤는 밤,에세이,"10,800",5,Y
2026-06-13,바람의 언덕  ,소설,"14,000",,N
2026-06-26,  고요한 아침 ,에세이,"12,000",8,N
2026-06-05,네 컷 극장,만화,7500,1,N
2026-06-22,python 알고리즘,자기계발,"18,000",7,N
2026-06-13,달빛 도서관,소설,"13,500",3,N
2026-06-10,  미드나잇 라이브러리 ,소설,15800,7,Y
2026-06-03,말풍선 클럽,만화,"6,500",5,N
2026-06-17,  네 컷 극장 ,만화,"7,500",8,N
2026-06-27,달빛 도서관,소설,"13,500",5,N
2026-06-18,python 알고리즘,자기계발,18000,5,N
2026-06-16,말풍선 클럽,만화,"6,500",1,N
2026-06-13,  python 완전정복 ,자기계발,"22,000",1,Y
2026-06-07,돈의 속성,자기계발,"16,500",1,Y
