주문일,음료,카테고리,가격,수량,회원여부
2026-06-27,  레모네이드 ,에이드,"5,000",1,N
2026-06-02,녹차라떼,논커피,4800,1,N
2026-06-16,레모네이드,에이드,5000,3,Y
2026-06-09,아메리카노,커피,3500,,N
2026-06-24,바닐라라떼,커피,5000,4,Y
2026-06-22,자몽에이드,에이드,"5,500",1,N
2026-06-18,레모네이드,에이드,5000,3,Y
2026-06-28,  카페라떼 ,커피,4500,4,Y
2026-06-12,카페라떼,커피,4500,4,Y
2026-06-23,콜드브루,커피,4200,1,N
2026-06-04,녹차라떼,논커피,"4,800",1,Y
2026-06-27,바닐라라떼,커피,5000,3,N
2026-06-17,바닐라라떼,커피,5000,999,Y
2026-06-01,자몽에이드,에이드,5500,3,N
2026-06-14,  레모네이드 ,에이드,5000,3,Y
2026-06-04,레모네이드,에이드,"5,000",1,Y
2026-06-07,자몽에이드,에이드,5500,1,Y
2026-06-10,녹차라떼,논커피,4800,,N
2026-06-16,카페모카,커피,5000,2,N
2026-06-07,레모네이드,에이드,5000,5,Y
2026-06-25,바닐라라떼,커피,"5,000",2,Y
2026-06-18,  에스프레소 ,커피,3000,5,Y
2026-06-12,녹차라떼,논커피,4800,4,Y
2026-06-10,카페모카,커피,5000,2,N
2026-06-06,아메리카노,커피,3500,4,Y
2026-06-04,카페모카,커피,"5,000",4,N
2026-06-20,카페라떼,커피,4500,4,N
2026-06-26,카페모카,커피,5000,1,Y
2026-06-16,  카페모카 ,커피,5000,3,N
2026-06-07,카페라떼,커피,4500,,Y
2026-06-16,콜드브루,커피,"4,200",2,Y
2026-06-18,아메리카노,커피,3500,1,Y
2026-06-26,레모네이드,에이드,5000,3,N
2026-06-17,녹차라떼,논커피,4800,4,Y
2026-06-09,자몽에이드,에이드,5500,4,N
2026-06-16,  레모네이드 ,에이드,"5,000",3,Y
2026-06-22,콜드브루,커피,4200,4,N
2026-06-24,카푸치노,커피,4500,4,N
2026-06-21,녹차라떼,논커피,4800,4,Y
2026-06-22,에스프레소,커피,3000,2,Y
2026-06-23,카페모카,커피,"5,000",5,Y
2026-06-21,에스프레소,커피,3000,,N
2026-06-24,  콜드브루 ,커피,4200,2,Y
2026-06-01,자몽에이드,에이드,5500,5,N
2026-06-06,아메리카노,커피,3500,1,Y
2026-06-04,레모네이드,에이드,"5,000",3,Y
2026-06-28,콜드브루,커피,4200,5,Y
2026-06-05,바닐라라떼,커피,5000,3,Y
2026-06-14,아메리카노,커피,3500,999,Y
2026-06-03,  콜드브루 ,커피,4200,4,N
2026-06-12,카페라떼,커피,"4,500",3,N
2026-06-20,바닐라라떼,커피,5000,3,N
2026-06-21,아메리카노,커피,3500,1,Y
2026-06-21,아메리카노,커피,3500,4,N
2026-06-21,카페라떼,커피,4500,1,Y
2026-06-20,카푸치노,커피,"4,500",,Y
2026-06-20,  카푸치노 ,커피,4500,3,N
2026-06-23,콜드브루,커피,4200,1,N
2026-06-15,바닐라라떼,커피,5000,4,N
2026-06-18,콜드브루,커피,4200,3,N
