주문번호,주문일시,상품명,단가,수량,회원등급
ORD1000,2026-06-23 12:50, 충전케이블,"9,000",2,bronze
ORD1001,2026-06-11 13:51,충전케이블,9000,3,Silver
ORD1002,2026-06-18 20:56,키보드,47000,4,GOLD
ORD1003,2026-06-23 21:02,충전케이블,9000,2,Bronze
ORD1004,2026-06-20 09:33,모니터암,"39,000",3,SILVER
ORD1005,2026-06-28 09:20,무선이어폰,89000,,SILVER
ORD1006,2026-06-19 13:12,노트북거치대,23000,3,gold
ORD1007,2026-06-09 20:19,마우스패드,12000,2,Bronze
ORD1008,2026-06-24 11:38, 무선이어폰,"89,000",1,Silver
ORD1009,2026-06-19 11:22,노트북거치대,23000,4,Bronze
ORD1010,2026-06-08 16:24,충전케이블,9000,3,gold
ORD1011,2026-06-21 20:05,웹캠,68000,1,GOLD
ORD1012,2026-06-20 12:38,모니터암,"39,000",3,SILVER
ORD1013,2026-06-21 09:30,충전케이블,9000,3,GOLD
ORD1014,2026-06-09 19:23,키보드,47000,4,Bronze
ORD1015,2026-06-12 10:48,충전케이블,9000,4,Bronze
ORD1016,2026-06-06 13:03, 충전케이블,"9,000",3,Bronze
ORD1017,2026-06-17 09:05,블루투스스피커,55000,1,bronze
ORD1018,2026-06-14 17:05,노트북거치대,23000,3,Silver
ORD1019,2026-06-01 10:17,키보드,47000,,Silver
ORD1020,2026-06-13 15:37,블루투스스피커,"55,000",1,Silver
ORD1021,2026-06-26 16:28,키보드,47000,3,SILVER
ORD1022,2026-06-25 09:58,무선이어폰,89000,4,SILVER
ORD1023,2026-06-08 21:18,무선이어폰,89000,1,Silver
ORD1024,2026-06-26 11:35, 블루투스스피커,"55,000",1,bronze
ORD1025,2026-06-09 16:13,블루투스스피커,55000,3,SILVER
ORD1026,2026-06-05 11:06,무선이어폰,89000,2,GOLD
ORD1027,2026-06-11 15:57,모니터암,39000,,GOLD
ORD1028,2026-06-19 16:28,마우스패드,"12,000",4,SILVER
ORD1029,2026-06-26 11:34,블루투스스피커,55000,2,Bronze
ORD1030,2026-06-27 11:25,USB허브,18000,3,bronze
ORD1031,2026-06-19 21:41,키보드,47000,2,GOLD
ORD1032,2026-06-08 20:01, 웹캠,"68,000",2,bronze
ORD1033,2026-06-19 20:07,무선이어폰,89000,3,Silver
ORD1034,2026-06-26 16:41,키보드,47000,4,bronze
ORD1035,2026-06-10 14:33,노트북파우치,27000,3,GOLD
ORD1036,2026-06-02 15:40,노트북파우치,"27,000",2,Silver
ORD1037,2026-06-10 18:42,모니터암,39000,2,gold
ORD1038,2026-06-15 18:10,마우스패드,12000,,GOLD
ORD1039,2026-06-14 19:29,마우스패드,12000,1,bronze
ORD1040,2026-06-14 16:00, 블루투스스피커,"55,000",1,bronze
ORD1041,2026-06-14 19:03,무선이어폰,89000,3,Silver
ORD1042,2026-06-06 11:30,충전케이블,9000,1,bronze
ORD1043,2026-06-19 18:07,무선이어폰,89000,3,Bronze
ORD1044,2026-06-08 18:47,충전케이블,"9,000",500,Silver
ORD1045,2026-06-27 18:33,키보드,47000,4,Silver
ORD1046,2026-06-23 09:39,마우스패드,12000,4,Silver
ORD1047,2026-06-06 16:54,마우스패드,12000,1,gold
ORD1048,2026-06-18 21:13, 무선이어폰,"89,000",1,gold
ORD1049,2026-06-16 19:06,충전케이블,9000,4,bronze
ORD1050,2026-06-11 16:12,USB허브,18000,3,SILVER
ORD1051,2026-06-04 12:03,USB허브,18000,,Silver
ORD1052,2026-06-14 12:22,모니터암,"39,000",3,SILVER
ORD1053,2026-06-12 20:48,키보드,47000,2,Bronze
ORD1054,2026-06-27 17:03,충전케이블,9000,2,SILVER
ORD1055,2026-06-13 17:59,무선이어폰,89000,4,Bronze
ORD1056,2026-06-01 19:04, 블루투스스피커,"55,000",1,Bronze
ORD1057,2026-06-20 19:50,USB허브,18000,1,GOLD
ORD1058,2026-06-19 18:30,마우스패드,12000,2,bronze
ORD1059,2026-06-07 21:54,무선이어폰,89000,2,Silver
ORD1060,2026-06-07 17:36,키보드,"47,000",2,GOLD
ORD1061,2026-06-01 09:18,블루투스스피커,55000,4,GOLD
ORD1062,2026-06-07 19:13,웹캠,68000,4,gold
ORD1063,2026-06-14 18:55,충전케이블,9000,,SILVER
ORD1064,2026-06-05 19:38, USB허브,"18,000",3,bronze
ORD1065,2026-06-10 20:25,무선이어폰,89000,4,SILVER
ORD1066,2026-06-07 13:14,웹캠,68000,3,gold
ORD1067,2026-06-21 14:23,마우스패드,12000,4,bronze
ORD1068,2026-06-12 17:26,키보드,"47,000",2,GOLD
ORD1069,2026-06-21 18:16,USB허브,18000,4,GOLD
