모델,연식,주행거리,가격만원,연료,색상,사고여부
소나타 ,2016,"89,000",1988,하이브리드,회색,무사고
아반떼,2016,"143,000",4014,하이브리드,회색,무사고
그랜저,2022,"125,000",2319,하이브리드,,무사고
K5,2016,"78,000",3843,디젤,빨강,무사고
스포티지,2017,"101,000",2017,가솔린,흰색,유사고
쏘렌토,2021,"102,000",4125,가솔린,검정,무사고
티볼리 ,2021,"155,000",1055,LPG,파랑,무사고
모닝,2017,"33,000",0,가솔린,검정,유사고
레이,2017,"87,000",3526,디젤,빨강,무사고
팰리세이드,2018,"71,000",3349,디젤,파랑,유사고
소나타,2020,"76,000",2797,가솔린,빨강,무사고
아반떼,2018,"98,000",4001,LPG,빨강,무사고
그랜저 ,2015,"116,000",3960,디젤,검정,무사고
K5,2019,"62,000",4483,디젤,검정,유사고
스포티지,2021,"34,000",750,가솔린,,무사고
쏘렌토,2022,"30,000",969,가솔린,회색,무사고
티볼리,2015,"153,000",1420,LPG,검정,무사고
모닝,2016,"135,000",816,가솔린,검정,무사고
레이 ,2016,"43,000",3375,디젤,흰색,무사고
팰리세이드,2021,"88,000",1547,LPG,검정,유사고
소나타,2018,"86,000",2925,가솔린,회색,무사고
아반떼,2016,"164,000",2938,가솔린,회색,무사고
그랜저,2016,"72,000",4384,가솔린,회색,무사고
K5,2021,"999,999",1909,디젤,흰색,무사고
스포티지 ,2020,"32,000",2486,가솔린,파랑,무사고
쏘렌토,2016,"166,000",3023,하이브리드,검정,유사고
티볼리,2017,"122,000",2735,디젤,검정,무사고
모닝,2021,"159,000",2619,LPG,회색,무사고
레이,2017,"91,000",4137,가솔린,검정,무사고
팰리세이드,2016,"60,000",2859,가솔린,흰색,유사고
소나타 ,2016,"53,000",2927,LPG,파랑,무사고
아반떼,2022,"70,000",3948,LPG,검정,무사고
그랜저,2015,"101,000",2210,하이브리드,회색,유사고
K5,2019,"109,000",2909,하이브리드,,유사고
스포티지,2015,"93,000",1223,가솔린,파랑,유사고
쏘렌토,2016,"64,000",2058,LPG,검정,유사고
티볼리 ,2015,"148,000",2649,LPG,회색,무사고
모닝,2021,"84,000",3160,가솔린,회색,유사고
레이,2015,"43,000",2912,디젤,빨강,무사고
팰리세이드,2016,"37,000",3911,가솔린,검정,무사고
소나타,2020,"55,000",4487,디젤,검정,유사고
아반떼,2018,"175,000",1014,LPG,파랑,무사고
그랜저 ,2017,"131,000",4477,디젤,빨강,무사고
K5,2017,"100,000",3064,하이브리드,흰색,무사고
스포티지,2015,"30,000",4114,가솔린,파랑,무사고
쏘렌토,2020,"30,000",546,하이브리드,,무사고
티볼리,2021,"174,000",1876,가솔린,회색,유사고
모닝,2017,"109,000",3233,LPG,파랑,무사고
레이 ,2017,"41,000",2325,하이브리드,흰색,유사고
팰리세이드,2022,"82,000",788,LPG,흰색,무사고
