방문일,요일,시간대,프로그램,회원등급,운동시간,소모칼로리,나이
2025-01-01,수,오전,필라테스,일반,62,321,42
2025-01-01,수,오후,웨이트,프리미엄,85,556,45
2025-01-01,수,오후,필라테스,일반,43,197,30
2025-01-01,수,오후,스피닝,일반,59,568,48
2025-01-01,수,오후,스피닝,프리미엄,36,306,19
2025-01-01,수,저녁,스피닝,프리미엄,51,486,19
2025-01-01,수,오전,웨이트,일반,67,460,34
2025-01-02,목,저녁,웨이트,일반,77,574,20
2025-01-02,목,저녁,웨이트,일반,77,551,54
2025-01-02,목,저녁,요가,프리미엄,73,306,36
2025-01-03,금,오후,요가,일반,44,191,48
2025-01-04,토,오후,필라테스,일반,49,235,57
2025-01-04,토,저녁,스피닝,프리미엄,66,630,30
2025-01-04,토,저녁,스피닝,일반,34,354,33
2025-01-04,토,저녁,웨이트,일반,52,385,22
2025-01-04,토,오전,스피닝,일반,57,483,37
2025-01-05,일,저녁,웨이트,일반,50,390,28
2025-01-06,월,저녁,필라테스,일반,57,266,51
2025-01-06,월,오후,요가,프리미엄,62,240,43
2025-01-07,화,오전,웨이트,일반,68,496,29
2025-01-07,화,오후,웨이트,일반,58,382,40
2025-01-07,화,오전,요가,일반,62,246,36
2025-01-07,화,저녁,필라테스,일반,62,320,68
2025-01-07,화,오전,웨이트,일반,57,413,24
2025-01-07,화,오전,스피닝,일반,46,392,30
2025-01-07,화,저녁,웨이트,일반,80,548,30
2025-01-08,수,저녁,웨이트,일반,78,531,45
2025-01-08,수,저녁,스피닝,일반,51,510,56
2025-01-09,목,저녁,웨이트,프리미엄,80,561,20
2025-01-09,목,오전,웨이트,일반,69,532,36
2025-01-09,목,저녁,필라테스,일반,50,285,44
2025-01-09,목,저녁,필라테스,프리미엄,45,241,48
2025-01-09,목,저녁,요가,일반,70,285,28
2025-01-09,목,오후,요가,일반,55,198,52
2025-01-09,목,저녁,필라테스,일반,53,280,26
2025-01-10,금,저녁,웨이트,일반,57,404,43
2025-01-10,금,오후,스피닝,일반,48,421,39
2025-01-10,금,오전,요가,일반,72,293,58
