검사일,라인,교대조,내용량_ml,당도_brix,라인속도_bpm,원료온도_C,숙련도_년,설비알람수,불량수
2025-01-04,A,주간,501.3,11.16,292.0,24.3,3.9,0,1
2025-01-04,B,주간,503.7,11.64,310.1,27.6,5.8,5,5
2025-01-04,A,야간,500.6,10.76,290.0,24.8,11.7,3,1
2025-01-07,C,야간,496.6,10.85,316.5,23.7,2.6,4,7
2025-01-08,C,야간,497.7,10.06,319.4,19.3,13.8,1,2
2025-01-09,A,야간,499.1,11.12,299.3,26.9,1.6,2,10
2025-01-10,A,주간,503.5,10.75,272.8,22.1,4.5,3,0
2025-01-11,C,야간,498.1,10.82,305.9,24.3,5.7,3,4
2025-01-12,B,야간,501.5,11.31,306.2,25.7,5.3,2,1
2025-01-13,B,야간,499.7,10.44,300.9,20.8,6.4,2,6
2025-01-13,C,주간,496.5,,332.6,23.7,5.6,0,3
2025-01-14,A,주간,501.4,11.35,269.9,27.0,4.9,2,3
2025-01-14,C,주간,500.0,10.34,310.6,19.2,2.6,0,2
2025-01-14,B,주간,502.2,10.84,294.0,21.7,2.2,0,2
2025-01-16,B,야간,498.5,10.75,299.7,23.3,5.1,3,3
2025-01-16,B,주간,499.6,10.66,316.4,21.9,1.9,1,2
2025-01-16,A,주간,499.3,10.17,299.6,18.6,2.9,3,4
2025-01-17,A,주간,497.0,,287.7,22.8,12.6,3,0
2025-01-17,A,야간,496.3,10.49,275.8,19.4,5.7,5,3
2025-01-17,B,주간,499.8,10.97,310.1,23.5,7.2,3,3
2025-01-18,A,야간,500.7,10.7,301.5,27.2,9.2,3,1
2025-01-18,A,야간,501.6,10.91,293.1,21.6,0.5,2,2
2025-01-18,C,야간,500.1,11.82,299.8,25.7,6.8,3,4
2025-01-18,B,야간,502.8,11.37,264.1,25.5,6.3,0,0
2025-01-19,B,주간,498.4,11.45,318.7,26.2,2.7,3,4
2025-01-22,C,야간,497.7,10.35,315.0,23.6,8.2,0,9
2025-01-23,A,주간,500.6,10.95,268.9,22.7,2.4,0,4
