상담원ID,팀,교육전_처리시간_분,교육후_처리시간_분
A001,3팀,9.98,8.7
A002,1팀,13.19,12.09
A003,2팀,10.34,8.08
A004,3팀,9.15,6.42
A005,1팀,12.79,11.86
A006,1팀,10.84,10.21
A007,1팀,9.61,6.61
A008,1팀,7.15,5.49
A009,3팀,10.87,9.31
A010,3팀,12.93,12.24
A011,2팀,9.87,8.81
A012,3팀,11.66,10.88
A013,1팀,13.22,12.46
A014,2팀,12.05,11.68
A015,1팀,7.9,7.18
A016,1팀,10.21,7.68
A017,1팀,11.61,9.72
A018,2팀,15.15,14.04
A019,3팀,13.79,13.61
A020,3팀,10.85,10.68
A021,2팀,11.63,10.81
A022,2팀,13.16,14.33
A023,3팀,9.34,7.23
A024,2팀,12.3,11.4
A025,2팀,15.33,14.8
A026,1팀,10.54,7.73
A027,3팀,11.11,10.93
A028,3팀,10.22,8.59
A029,2팀,15.29,12.93
A030,1팀,10.99,10.36
A031,3팀,11.07,9.13
A032,2팀,6.21,6.62
A033,2팀,12.88,8.82
A034,2팀,13.86,13.26
A035,2팀,10.32,9.5
A036,1팀,14.1,13.7
A037,3팀,11.38,8.76
A038,3팀,13.43,12.44
A039,3팀,7.76,6.84
A040,1팀,12.0,9.07
A041,2팀,9.27,7.13
A042,2팀,10.72,9.88
A043,2팀,14.83,15.2
A044,2팀,12.0,11.88
A045,1팀,10.62,7.35
