상담일,채널,문의유형,고객구분,대기시간_초,대기고객수,상담시간_분,상담원경력_년,만족도,재문의여부
2025-03-03,전화,요금,신규,87.9,8,7.27,3.9,3.8,1
2025-03-03,전화,요금,기존,60.9,7,9.34,1.0,3.8,0
2025-03-04,채팅,장애,기존,34.3,3,11.08,1.8,3.74,1
2025-03-04,전화,장애,기존,15.8,1,11.56,1.3,3.99,0
2025-03-04,이메일,요금,기존,132.9,11,7.04,3.2,2.64,0
2025-03-04,전화,기타,기존,6.4,0,7.87,7.8,4.73,1
2025-03-05,전화,가입,기존,25.7,2,9.44,3.2,4.28,1
2025-03-05,전화,장애,신규,29.5,4,11.34,4.0,4.17,1
2025-03-06,채팅,요금,신규,46.7,5,8.33,8.2,4.21,0
2025-03-07,채팅,가입,기존,57.3,5,8.41,3.3,4.04,0
2025-03-07,이메일,요금,기존,130.9,12,7.75,2.5,2.43,0
2025-03-07,채팅,기타,신규,159.2,13,6.4,1.9,3.0,0
2025-03-08,이메일,장애,기존,143.5,11,12.6,2.0,3.06,1
2025-03-08,전화,요금,기존,180.3,14,6.9,5.0,3.53,0
2025-03-08,채팅,가입,신규,8.0,1,9.03,0.4,3.66,1
2025-03-09,이메일,기타,신규,240.2,19,6.69,1.7,2.32,1
2025-03-09,이메일,장애,기존,125.6,9,11.64,0.6,2.45,1
2025-03-10,전화,장애,신규,41.6,5,9.66,9.5,4.67,0
2025-03-10,채팅,요금,기존,98.9,7,7.67,4.7,3.43,1
2025-03-10,전화,장애,기존,6.7,0,10.81,1.2,3.54,0
2025-03-10,전화,가입,신규,194.1,17,9.93,4.1,3.89,0
2025-03-10,채팅,요금,신규,75.9,6,8.05,5.0,3.76,0
2025-03-10,채팅,요금,신규,21.0,3,6.16,7.3,4.27,0
2025-03-10,채팅,요금,기존,44.9,4,6.79,7.6,4.6,0
2025-03-11,이메일,가입,신규,52.9,5,10.15,4.5,4.27,0
2025-03-11,전화,가입,신규,12.7,1,9.4,5.3,4.7,0
2025-03-11,이메일,장애,기존,5.0,0,10.76,9.3,3.88,0
2025-03-11,채팅,요금,기존,56.0,4,7.63,1.9,3.44,1
2025-03-11,이메일,기타,신규,24.5,0,8.42,3.6,3.36,0
