text,label
개재미없다. 감독의 연출력의 한계,0
이제서야 보게된 대 명작 연출미가 정말 훌륭하다!!!!!!!!,1
귀여운 캐릭터들도 많이 나와서 보러 가야 겠어요..,1
TV시리즈가 너무재밌어서 영화는 기대안하고 봤는데 역시....최고네요,1
시작은 니시지마 때문에 봤는데 나름 괜찮은 영화 봤다고 생각합니다..,1
첫번째 에피소드 정말.... 엄청난소름,1
미국 경찰은 아무나 못해먹겠네 ㄷㄷ,1
"발생시기는 2011년초, 최초발생장소는 센다이로 재앙의 내용만 다르지 정확한 예언",1
헐리웃에서 사지절단하면 추앙받고 한국에서 사지절단하면 욕먹고.ㅋㅋ 잘돌아간다.,0
"덴젤 워싱턴, 에단 호크.. 더이상 말이 필요없지!!",1
"공포,고어물이 평점이원래낮아서..근데 이영화는 진짜 머하나볼께없다.지루함.",0
머야 이거 센과 치히로 보다 재밋네?,1
마지막을 위한 영화 걍 줄거리 파악 말구 일단 강추아닥 걍 봐 ㅋㅋㅋ,1
진~~~~~~~~~~짜 재.미.없.다!!!!!! 완전 지루하고 잠온다.4시간처럼 느껴졌음,0
어디 비교 할 게 없어서 명작 파고랑 비교해. 그저 아류 짝퉁이구만.,0
돈 아깝다 보지마시라 저질 미국 영화임,0
아 진심 이런 뭔내용인지이해하나도안감 아 기분만찜찜해,0
"영화의 흐름을 방해하는 과도한 그래픽, 워쇼스키의 또다른 모험수,",0
언제쯤 세상을 위해 이들이 없어질까,1
폭력배한테 맞을때 진짜처럼 당하던데.,1
조으다ㅠㅠ 완전 좋습니다 ㅠㅠㅠ,1
아.. 책은 정말 재밌는데 어쩜.. 영화를 이렇게 허접하게 만들었는지.. 원작이 너무 아까움... 그나마 제이스와 클라리역을 맡은 연기자들 외모가 좋아서 다행..,0
은근잼잇는영화에요~헤어진연인들이보기좋겟네요ㅎ,1
이게 2014년 작품이란게 놀랄 따름이다. 20년 전에 나왔다고 해도 전혀 의심하지 않을 cg. 견자단이랑 주윤발은 왜 이런 영화에 나왔는지,0
님들 정말 이게 재밌어요? 내가 제임스 맥어보이 팬이라 꾹 참고 빠른재생으로 봤는데 이건 진짜 아니죠! 개연성도 부족하고 다들 눈 삐었어요?,0
첨엔 리얼 비슷하게 가다 판타지로 가는...,1
쉿! 아무말도 하지마세요..,0
이런 영화에 별점은 영화에 대한 예의가 아니다,1
이 영화만큼 아름다운 노을을 못봤다..,1
"역시 영화는 배우, 연기보다 일단 시나리오가 좋아야 된다",0
이런건 tv특선으로 내주면 그냥그럴것같은데 영화로냄ㅋㅋㅋㅋㅋ,0
여주인공캐스팅에돈 다써버린영화; 내가본뱀파이어중제일약하고 허접한 뱀파이어,0
글쎄... 그다지 스릴도 없고 엉성하다.. 영화를 만들다가 그만둔 느낌이랄까...,0
미치도록 얘쁘고 또 얘쁘고 예쁜 탕웨이OST도 추억의 팝송 너무 좋고남자배우도 매력 짱!!!!탕웨이가 웨딩드래스 입었을 때는 할말을 잃었음,1
너무 멋있는 사랑이었다. 감동 ..,1
명작..ㅋㅋㅋㅋㅋ진짜 이건 명작이다.!!,1
그걸 보느니 7광구가 더재미있다,0
그냥 걷기만 하는데도 전혀 지루하지 않던데..풍경도 멋있고..,1
사람을 죽이는 건 좀 아니었지만. 재밌었다.,1
아ㅠ진짜 이번시즌도 기대를져버리지 않네요ㅠㅠ몇몇 등장인물들이 조금 아쉽긴하지만..한박사님과 강형사님만 바뀌지 않는다면 롱런할수있겠다는 생각이 드네요ㅎㅎㅎ,1
"[ 스토리 4, 비주얼 4, 연출 4, 연기 4 ] 상투적이고 손발이 오그라든다. 허준호의 연기만 인상적.",0
할머님의 전쟁하지마 바보들아!! 라는 피눈물 맺힌 외침이 그 바보들에게 와닿기를,1
아니 개그맨들 더OO킬빠에는 그냥 더빙안하고 자막으로 개봉해 뭐하면 지네들 유행어나 말하고 쯧쯧이러니 우리나라 더빙하시는분이 설자리가 없지 애니메이션 채널보면 그냥 등장인물들 다 목소리가 같다?,0
책까지 사서 본 유일한 드라마,1
드라마의 여운이 아직도 가시질않네요..,1
이건돈많은중국대학생들이만들었나봐요,0
영화보면서 호랑이가 부러웠다.,1
잘봤습니다. 재미와 감동 어느것 하나 놓치치않은 감독님 짱!!배우들도 유명하진 않지만 연기력은 손색없어 더 편하게 빠져들수있었어요 앞으로도 좋은작품으로 자주봴수있길바래요 더많은 상영관도 아자~^^,1
기대를 저버리지 않는군요 ㅎㅎ 잘봤습니다,1
최고~!! 이 드라마로 이문식씨 팬 됐습니다^^,1
애국심과 개인적 사정으로 국가대표에 매진할 수 밖에 없는 등장인물들의 특성을 잘 살렸으며 감동적이였다.,1
좋다. 치장없이 별것없이 날것그대로 긴장을 만들어냈다.마지막 삐그덕소리와 주인공의 놓지 못한 두려운 눈빛은 본인의 오해에 대한 모든 의미를 담고있는듯 싶었다.여주 짱나서 마이너스 1점,1
희생과 구원의 의지가 함축되어 있는듯한 마지막 시퀀스까지..,1
"참으로 전개도 엉망이고, 당위성도 결여되고, 스토리도 엉터리인 4류, 5류 영화",0
결말이 뻔다하. 하지만 그 결말을 알면서도 긴장감은 줄어들지않았다.,1
킬링타임용. 아.. 근데 난 킬링타임이라는거 자체가 내 인생에서 너무 아깝네요.. ㅠ킬링타임용 영화가 많긴 하지만.. 이 영화는 참...전 그냥 트레이시 몸매나 감상하고 있었습니다 ㅡㅡㅋ,0
미셸 파이퍼 너무 매력적이나 그냥 진부한 로맨스물. 나와는 안 맞는 코드,0
우리가 외면하고있던면을 다시 돌이켜보고 현재 가진것에 감사할수있게해준 영화였습니다,1
"일본, 미국 애니보다가 이거 보니... 진짜 무슨 장난같다 ;;",0
지루하고 엉망진창이다. 걍 포티아라는 매력적인 여배우를 발견한걸로 만족하련다,0
기대->몰입->지루->황당->체념,0
좋은데요 재밌게봤음 근데평점약함,1
"참나...고전소설읽는줄알았다. 박찬욱꺼 평점보고 기대하면서봤지만 억지로 광기를 표현하질않나, 사람고기만두는무서운이야기로 많아 등장하는거고 일본거는 그게 영화냐. 뭐 암시하는것도없다",0
나에게는 아직까지는 쓰레기일뿐.,0
흠.... 피터팬의 공식을 한번 더 보게 만드는군,0
이런 영화를 drop한 너에게 respect !,0
"진짜 1,2편은 언제봐도 안질려요 대박",1
아이들 바라본 성인. 우리가 우리 이웃들이... 가슴 찡하네요~,1
아무 재미없는 유치한 삼류 코미디. 찾아보는 것은 시간 낭비임,0
샘해밍턴이오늘등반암벽하는거보고 또한번느낀점..적어도 남들과똑같이돈받고 하는거면 남들반만큼이라도할람 살은어느정도빼야지계속처먹어대서주체못하는몸둥이로매번포기하고남들의욕까지상실시키는거꼴뵈기싫다 할라는의지가안보임 날로외화벌어가려하는듯,0
0점 주고 가야 하는데...,0
어긋난 빈센트 만큼이나 어긋난 현채와 동하의 뒷수습식 사랑얘기,0
뻔한 스토리에 뻔한 연출.. 인디아나 존스의 아류작..,0
"처음 접한 인도영화였는데 재미있었어요. 음악과 영상이 아주 아름다웠고 스토리도 괜찮았던 듯. 좀 슬픕니다. 몇몇 연기 못하는 배우도 있었지만, 남주인공이 꽤 멋있고 연기도 참 좋았습니다. 여주인공도 정말 사랑스럽고 예뻤던 기억이.. 룩스미도 아주 미인",1
한마디로 여자꼬셔서 잠자는 영화임 저질 삼유 영화임,0
감성적 따뜻함. 희망적. 기적소망. 훈훈.,1
엄청 재밌다 ㅋㅋㅋㅋㅋ 내 수준인가,1
전체적인일관성은높이평가되지않지장면하나하나와즐거운장면과요소가많아즐겁게봤다굳,1
"이런 객관적, 시사적, 교훈적인 영화가 5/29일 현재 전국 5개 개봉관에서만 상영중... 그리고 관람객평점(9.57)과 네티즌평점(8.40) 사이의 불균형 = 수꼴알바들의 지대한 공헌; 바로 이게 막장으로 치닫는 대한민국의 현주소!!!",1
마음이의 연기 잘봤습니다. 영화제작의 노력은 보였으나 충분하지는 못한거 같네요. 개인적으로 성동일 팬이라 엔딩곡까지 끝까지 보았는데 저같은 팬을 꼬드긴(?)거면 어느정도 성공하셨다해도 무방합니다..,1
"얘네들, 이런거 찍으려고 연기 배운건 아니였을 텐데",0
근데 장첸이 대체 어디나오는데요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ?? 저만 못찾음??,0
감동적이게 보고왔습니다. 따뜻한 영화가 생각난다면 이게 딱 조하,1
어렸을때 재미있게 봤던 향수에 취해 오랜만에 다시 봤지만1995년에 만들어진 영화치고 지금 봐도 재미있는 명작 영화다.,1
36대0 제우스중박살이라니;;,1
난 별로 재미없었다. 아이리스가 조디포스터 라는게 최고의 반전 ㅋㅋ,0
보는동안 행복했던 드라마 ^^모든 등장인물이 사랑스러웠던..너무 빨리 끝나서 아쉬워요 ㅜㅜ,1
이것이 영화의 존재의미이다.,1
