product_type,text
자세밴드,잡아주는 느낌이 들어 의식적으로 몸을 세우게 되고 교정해주는 힘이 크네요
자세밴드,어깨가 굽어져서 자세교정 하려고 샀습니다 어깨가 펴지긴하지만 겨드랑이가 좀 아프긴해요
선크림,지금상품받고 포장디만 개봉한 미사용 상황에서 리뷰 남깁니다. 포장상태가 너무성의없어서 사용하기도 싫어지네요.배송비닐안에 제품만 포장돼잇어서 제품단상자가 찌그러지고..단상자 봉합라벨도 없네요.원래이렇게 배송되는건지 .. 받는입장에선 상당히 기분나쁩니다.
자세밴드,** 저희 아들 살이 찌면서 자세도 구부정해지고 어느순간부터 허리며 목이며 아프다고 날리에요 ㅠ.ㅠ. 날도 추우니 평소에 착용할때 티나지 않고 자세 교정에 좋은걸로 열심히 찾아보다가 데리고 왔네요 ** 제품 포인트 1. 어깨를 뒤로 당겨주는 고탄성 밴드 2. 개인 맞춤형 인체공학적 2중 밴드 3. 시원하고 편안한 에어매쉬 소재 ** 착용후기 착용방법은 어깨에 걸치고 착착 감아주기만 하면되서 우선은 좋고만요 2중 고탄성 밴드라 몸 컨디션 따라 어깨 조임을 셀프로 조절 가능하니 착용하고 있어도 그렇게 힘들거나 피곤하지는 않다고 하더라구요 착용했을떄 확실히 아들 등이 펴지는게 눈으로 보이기도 하고 아이도 불편하지 않은지 자주 착용하게 되서 요새는 목이나 어깨가 덜 아프데요 저도 말린어깨라 아들 안할때 살짝 살짝 해봤는데 역시 편하네요
선크림,백탁 없이 자연스럽게 발리고 끈적임이 없어 산뜻하게 사용할 수 있는 선크림 백탁 없는 깔끔함 선크림 특유의 하얗게 뜨는 느낌 전혀 없음. 피부에 자연스럽게 스며들어 깔끔한 톤 보정 가능함. 눈 시림 없는 편안함 눈 주변에 발라도 시림이 없어서 편함. 눈가가 민감해도 부담 없이 사용 가능함. 화장 밀림 제로 덧발라도 화장 위에서 밀림 없이 깔끔하게 발림. 메이크업 전에 발라도 베이스 메이크업에 잘 맞음. 끈적임 없는 산뜻함 끈적이지 않아 보송하게 마무리됨. 여름철에도 번들거림 없이 산뜻하게 유지됨. 성분이 순한 착한 제품 자극적인 성분이 없어 민감한 피부도 사용 가능함. 이런 분께 추천해요! 자연스러운 피부 표현 원하는 분 눈 시림 없는 선크림 찾는 분 끈적임 없는 선크림 선호하는 분 화장 전에 발라도 밀림 없는 제품 찾는 분 자극 없는 성분을 선호하는 민감성 피부 분들
자세밴드,"** 달림 + 3cm 바른 자세 교정 밴드 어깨 라운드 숄더 ♡ 최근 허리가 아파 바른 자세 교정을 위해서 달림 + 3cm 바른 자세 교정 밴드 어깨 라운드 숄더를 구매하게 되었습니다. 육아로 인해 아기를 안고 들어올리고를 반복하다보니 허리가 아팠습니다. 하지만 이 제품을 사용하면 굽어 있는 등과 허리가 펴지기 때문에 자세 교정에 좋았습니다. 이 제품은 아래와 같은 사람이 사용하시면 좋습니다. 1. 현대인이 자주걸리는 거북목, 척추 질병 예방효과가 있습니다. 2. 운동할때 허리를 바로 잡아주기 때문에 정확한 정자세로 운동이 가능합니다. 3. 굽은 자세의 등을 바로 잡아주기 때문에 최대 3cm의 키를 찾아줄 수 있습니다. 4. 몸의 라인을 잡아주어 옷 맵시를 보기 좋게 할 수 있습니다. ♡ 이 제품의 경우 타 제품에 비해서 중앙고정밴드와 지지대로 확실한 자세교정이 가능합니다. 특히 굽은 등과 어깨를 바른자세로 잡아주도록 도와줍니다. 통기성 높은 에어메쉬 소재로 365일 쾌적하게 사용할 수 있습니다. 옷 속에 입으면 티가나지 않아 지속적인 착용이 가능합니다. 자세교정이 필요하신 분은 달림 + 3cm 바른 자세 교정 밴드 어깨 라운드 숄더를 추천드립니다."
자세밴드,제일 큰 사이즈를 주문했는데 어깨끈이 짧음 180에 90키로인데.. 체격이 있는분들은 참조하십시오. 중국에서 제작한거라 그런가 2xl 나 4xl가 어깨끈 길이가 같다고 되어있습니다. 힘들게라도 사용해보면 효과는 괜찬은것 같음
자세밴드,사이즈가 설명서 보다 형편없이 작다. 착용하기가 너무 너무 불편하다 . 구입 하려면 설명서 보다 2단계정도는 높여야 될것같다. 키 174cm에 체중 65kg 뱃살없어 2XL구입했었는데 작다. 아마3XL도 작을것 같다.
자세밴드,배송이 빨라서 좋았어요ㅎㅎ육하하고 거북목은 승천하고 라운드 숄더가 심해지니 목이 안돌아가서 교정밴드 추천받아구매했습니다! 잡아주니 덜 아프고 무리도 덜 가는 것 같아요 아주좋아요
자세밴드,헬스 트레이너님이 어깨 보호대 사용해야 할 거 같다고 해서 찾다가 이걸로 구매했어요 !!! 앞으로도 열심히 운동하려구요
