rating,text
5,"시슨드시 백탁없는 밀림없는 눈시림없는 끈적임없는 성분이 좋은 선크림 SPF50+ PA++++ 사용해본 후 솔직한 내돈내산 후기를 남겨보려고 해요요 (•ө•)♡ 먼저 이 제품을 처음 사용했을 때 가장 놀랐던 건 정말 “백탁 현상”이 없다는 점이었어요! 대부분의 선크림들은 바르면 얼굴이 하얗게 뜨거나 뭉치기 쉬운데 이 선크림은 마치 로션처럼 부드럽게 펴 발리고 흡수가 빠르더라구요요 (๑˃ᴗ˂)ﻭ 백탁은커녕 피부 톤이 자연스럽게 정돈되는 느낌이라서 메이크업 전에 프라이머 대용으로 쓰면 촉촉해져요 그리고 밀림 없음 이라는 문구가 괜히 있는 게 아니더라구요 아침에 바르고 메이크업을 해도 베이스가 밀리거나 겉돌지 않아서 너무 만족했어요 (ง •̀_•́)ง 특히 요즘처럼 덥고 습한 날씨엔 땀과 피지 때문에 선크림이 들뜨기 쉬운데 시슨드시 제품은 그런 현상이 전혀 없어서 감동이었어요 눈시림도 정말 없어요!! 눈 주변까지 꼼꼼하게 발라도 따갑거나 눈물이 나지 않아서 너무 좋았구요 저는 눈이 예민한 편이라 자극 있는 제품은 금방 눈이 충혈되는데 이건 그런 걱정 없이 편하게 바를 수 있어서 대만족했어요 (•‿•) 용량도 50g이라서 휴대하기에도 부담 없고 데일리로 쓰기에 딱 좋은 크기예요 가격 대비 퀄리티도 정말 만족스럽고 앞으로 꾸준히 재구매할 의향도 충분해용 결론적으로 백탁, 밀림, 눈시림, 끈적임 없이 정말 산뜻하고 부드럽게 사용할 수 있는 고지수 선크림을 찾고 있다면 시슨드시 선크림 강력 추천드려요 (•ө•)♡ 피부에 착 감기는 느낌이 너무 좋아서 한번 쓰면 헤어나오기 힘들 거예요ꔛ♡ 내돈내산 리뷰입니다 제 리뷰가 도움이 되셨다면 하단에 ★彡도움이돼요★彡 한 번씩 눌러주세요!! 행복한 하루되세요╰(*´︶`*)╯♡"
5,"화해앱으로 검색해보니 유해성분, 알러지 유발 성분이 없이 안전한 등급으로 만들었습니다. 그리고 후기에서 촉촉하다는 얘기가 많아 구입하게 됐습니다. 제가 악건성 피부이기 때문입니다. 겉포장에 보니 해양오염에도 착한가봅니다. 실제 사용해보니 촉촉합니다. 따뜻한 물 세안 만으로도 어느정도 지워지는 것을 보니 유기자차로 보입니다. 무기자차의 경우 건조한 저의 피부에는 잘 맞지 않아 순한 유기자차를 선호합니다. 그리고 무기자차의 경우 세안시 잘 닦이지 않아 번거로워서 더욱 유기자차를 선호하고 있습니다. 바다를 살리는 선크림’이라는 이름 자체가 해양 생태계에 유해한 자외선 차단 성분(예: 옥시벤존, 옥티녹세이트 등)을 배제했다고 합니다. 이는 산호초와 해양 생물을 보호하기 위한 조치로, 최근 부각되고 있는 친환경 뷰티 제품이라는 점에서 마음에 듭니다.기후온난화와 깨끗한 환경을 지켜나갈 의무는 누구나 느끼고 실천했으면 좋겠다고 생각하기에 더욱 선호하여 재구매로 이어나가야 겠다는 마음을 먹게 됩니다. 시슨드시라는 회사가 신생회사인중 알았는데 설립이 1999년입니다. 제가 그간 새로생겼나?? 하고 무심코 넘어갔던 많은 회사이름들이 함께 떠오르네요. 순하고 백탁없고 눈시림이 없습니다. 촉촉해서 건조한 피부인 저는 덧바르기도 좋습니다. 덧바를시 메이크업이 유지되지는 않습니다. 바다를 생각하는 기업이미지가 있습니다. 때문에 저는 재구매 의사가 있습니다. ** 구매시 선택에 도움이 되기를 바랍니다."
5,시슨드시 썬크림~♡ ☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆ 남편 데일리용으로 구매한 시슨드시 썬크림~ 남자들은 끈적이거나 미끄덩 거리는 느낌 때문에 썬크림 사용을 잘하지 않는다며 가볍고 로션같은 썬크림을 찾던중 구매하게된 제품이다. 케이스부터 시원한 느낌이 드는 시슨드시 썬크림 은 남성용은 아니지만 남자들이 쓰기에 너무 적합 한 썬크림이다. 시슨드시 썬크림은 3관왕 수상으로 브랜드 만족도 대상에 빛나는 그런 화장품이며 20여가지 산야초 성분으로 직접 재배한 산야초를 숙성하여 자연을 느낄수 있고 피부에도 딱 맞는 그런 썬크림이다. 알콜과 오릴프리이며 백탁현상이 없고 밀림현상이 전혀없다. 그럼에도 높은 자외선 차단력을 가졌으 며 높은 차단 지속력까지 ...데일리 썬크림으로 딱 재격이다. 향은 자연풀향으로 은은하여 자극적이지 않고 촉촉 하게 스며드는 느낌이 그냥 로션을 바르는 느낌이 었다. 엄청 촉촉하게 스며들고 바르고 문지르는 즉시 피부 에 스며들어 하옇게 뜨거나 바르기 어렵거나 하지 않아 여자들은 물론 남자들이 쓰기에 너무 적합하다 또한 눈시림도 전혀없어 피부진정효과로 민감한 피 부에도 편하게 사용가능하니 누가써도 호불호 없 는 그런 썬크림인거 같다. 용량은 적은듯 보이나 적은 용량으로도 최대효과를 낼수 있으니 안심하고 사용할수 있었다. 시슨드시 데일리 썬크림~ 강추합니다. 미끄덩거리고 끈끈함 때문에 썬크림 쓰시기 부담스러우신분들께 추천해요~ 후기를 읽어 주셔서 감사합니다. 오늘도 건강하고 행복한 한주 되세요~♡ 후기가 도움이 되셨다면 '도움이 돼요'를 꾹 눌러 주 세요~!!! ☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆
5,"➡️속 건조에 예민한 피부라 선크림은 잘 안 바르는데요 한 해가 갈수록 칙칙해지는 피부에 주문해 봤습니다 ✅️자극 성인용 선크림 무조건 뒤집어집니다 그런 이유로 어린이도 사용 가능한 착한 녀석들만 찾아 바르다 백탁이 너무 심해 한동안 쉼.. 결과는 겨울, 봄 볕에 다 타버렸네요 ... ㅜ.ㅜ... 순한 선크림 검색 요 녀석이 가장 상위인데다 눈 시림까지 없다고 해 선택했는데 결과는 굿이었습니다 ✅️사용감 바른 직후에도 시간이 지난 후에도 따가움이나 자극이 느껴지지 않았어요 백탁 현상 역시 전혀 없었으며 무엇보다 가장 만족스러웠던 사용감! <시원해요> 바다를 살린다는 착한 성분 그래서인지 사용감도 특별했는데요 바르자마자 수분크림을 바른 듯 시원한 느낌에 덧바르는 부담이 전혀 없었어요 피부가 예민한 편이라 겹겹이 바르면 저녁에 난리가 나는데 별 탈 없이 아주 편했습니다 ✅️보습 바른 후 3-4시간은 촉촉하게 매우 좋았습니다 다만 워낙 건조한 속 건조를 타고난 대다 숨이 막힐 듯 메마른 봄바람에 저녁까지 촉촉함이 유지되진 않았어요 그래도 이 정도의 촉촉함이 어디인가요 ㅎㅎ 충분히 만족스러웠습니다 ✅️백탁 위에도 적긴 했지만 백탁은 전혀 없었습니다 그런데 피부가 조금은 밝아진듯한 착각을 만들어주는 은은 광택이 있네요 자연스럽게 밝혀주니 요것도 만족 ^.^ ✔️제 피부는 사 계절 중 지금과 같은 메마른 봄에 가장 예민한데요 이 날씨에 선크림을 발라도 멀쩡하다니 인생 탬 건졌습니다 ㅎㅎ 앞으로는 사계절 이 녀석과 함께 하려고 합니다 아.. 마지막으로 장점을 너무 많이 적어놨는데 제 돈 주고 산 겁니다 ^.!"
5,그동안 제가 알고 썼던 썬크림은 이제 잊겠습니다.ㅎ 무슨 로숀같이 부드럽게 발리더니 백탁현상 일도없고 답답하지도 않고 번들거리지도 않고 시원한 향까지~~ 그동안 얼굴에 바르면 답답해 기미가 올라와도 못바르고 후회한 날들이 여러날~~~~~ㅜ 단점들만 많았던 선크림 때문에 선물들어온 헤×등등 화장대 귀퉁이에 넣고는 팔뚝이나 다리에만 발랐답니다. 요건 얼굴에만 발라야겠어요. 요거 바르고 비비크림도 발랐는데 밀리거나 두껍거나 이질감없이 화장이 잘됐어요. 무슨성분이 들어갔는지 관심은 없지만~ 써본 이들에 리뷰에는 아주아주 관심이 많답니다.♥ 제 구매에 큰 도움을 주시는 쿠팡 소비자 여러분들 감사드려요^^
5,"▶️ 구매내역 상품명 : 시슨드시 선크림, 50g, 1개 구매일 : 2024.07.14 ▶️ 구매동기 & 상품평 기존에 쓰던 선크림이 가격대가 조금 있는 편이라 부담스러워 다른 제품을 찾던 중 시슨드시를 알게되어 구입하게 되었습니다. 제가 원하는 선크림은 백탁이 없고, 끈적이지 않으며, 자극이 없는, 그리고 로션처럼 답답하지 않게 촉촉하게 잘 발리는 선크림을 찾고있었어요. 자외선 차단 지수는 당연히 높아야하구요! 이런 선크림을 찾다보니 시슨드시 선크림이 딱 적합하더라구요. 구입 후 약 한달 사용해보니 정말 딱 제 마음에 듭니다. ㅎㅎ 유통기한은 약 2년 9개월 정도로 굉장히 넉넉합니다! 일단 선크림은 거의 필수로 매일 바르다보니 자극 없이, 눈 시림 없이 잘 발리는 게 중요한데 로션처럼 촉촉하게 발려서 답답하지 않고, 하얗게 뜨지 않아서 정말정말 좋네요 ㅎㅎ 산뜻하게 챡 밀착 되면서 끈적이지 않기 때문에 이 선크림 바른 후 화장 해도 밀리지 않아서 부담되지 않아 좋습니다. 그리고 저만 그런지 몰라도 바르면 뭔가 시원~한 느낌이 들어요!!! 자극도 없고 발림성이 너무 좋아서 자외선 차단력이 안좋은 건 아닌지 걱정됐는데 차단력이 굉장히 높아서 장점만 갖춘 선크림이 아닐까 싶어요! 백탁과 눈 시림이 없고 촉촉한 선크림을 찾으신다면 정말 추천 드립니다 ㅎㅎ ✅ 요약 - 백탁 없음 - 눈 시림 없음 - 좋은 발림성 - 촉촉함 - 높은 자외선 차단력 재구매의사 ⭐️⭐️⭐️⭐️⭐️"
5,"#백탁없는 #눈시림없는 #끈적임없는 #촉촉한발림성 전에 쓰던 선크림이 눈 밑에 바르면 눈시림이 있어서 이번에 이 제품을 구매했어요. 용기 디자인이 아담해서 휴대하기 좋고, 바다를 연상시키는 감성적인 패키지도 마음에 들었어요. 직접 발라보니 설명 그대로 끈적거림 없이 가볍게 흡수되었고, 백탁 현상도 없어서 피부 톤이 자연스럽게 유지되더라고요. 특히 눈가에 발라도 눈이 시리지 않아서 만족스러웠어요! 선크림 특유의 무거운 느낌 없이 산뜻한 마무리감이 돋보였고, 지속력도 괜찮아서 여러 번 덧바를 필요가 크게 없었어요. 기능적으로도 **SPF50+ PA++++**라 자외선 차단력도 강해서 데일리로 쓰기에 딱이에요. 여름철엔 물론이고, 겨울에도 가벼운 보습 크림처럼 사용할 수 있을 것 같아요. 다만 용량이 50g이라 매일 듬뿍 바르면 금방 쓸 수도 있으니, 가성비를 따지는 분들은 참고하면 좋을 것 같아요!"
4,"## 시슨드시 백탁없는 밀림없는 눈시림없는 끈적임없는 성분이좋은 선크림 SPF50+ PA++++, 50g, **장점:** * **백탁, 밀림, 눈시림 없음:** * 티타늄 디옥사이드와 징크 옥사이드가 주요 자외선 차단제로 사용되어 백탁 현상이 거의 없고, * 워터젤 형태로 발림성이 좋아 피부에 밀림 없이 얇게 발라도 자외선 차단 효과가 뛰어나며, * 민감한 눈에도 자극이 적어 눈시림 현상이 거의 없습니다. * **끈적임 없는 사용감:** * 워터젤 형태로 수분감이 풍부하고 가벼워 피부에 부담없이 발립니다 * **SPF50+ PA++++ 높은 자외선 차단력:** * 강한 자외선으로부터 피부를 보호하는 데 효과적입니다. **단점:** * **다소 비싼 가격:** 다른 선크림에 비해 가격대가 다소 높은 편입니다. * **지성피부에는 다소 부담스러울 수 있음:** 워터젤 형태로 수분감이 풍부하기 때문에 지성피부에는 다소 부담스럽게 느껴질 수 있습니다. 총평 : 백탁없는 선크림을 찾아보다가 요게 눈에 띄어서 구매했는데 발릴때 촉촉하게 발려서 화장전에 바르면 화장이 더 잘먹어요 잘 펴발라야됩니다 안그러면 조금 뭉치더라고요 바를때 저는 조금 따갑더라고요ㅠ 바를때 촉촉하고 눈시림이없어서 좋은데 조금 따가워서 바디에 발라야할것같아요 백탁없고 촉촉한거 좋아하시면 추천드립니다 제가 직접 구매하여 개인적의견을 리뷰로 작성했습니다!! 제 리뷰가 도움이 되셨으면 도움이 되요 눌러주시면 감사하겠습니다 !"
5,"#시슨드시선크림 #백탁없는선크림 #밀착좋은선크림 #눈시림없는선크림 #순한선크림 #SPF50+선크림 #선크림추천 향/ 은은한 자연 풀향 제형/ 로션같이 촉촉하고 끈적임 없고 산듯함 성분/ 산야초, 불가리스 쑥오일 피부에 자극이 없는 좋은 성분 함유 자외선차단력/ SPF50+ /PA++++ 노화방지/ FDA에서 노화방지로 인증승인 패키지디자인/ 깨끗하고 자연친화적인 디자인 헹굼/ 폼클렌징으로 가볍게 헹궈도 잘 지워짐 용량/ 50ml 유통기한/ 개봉일로부터 6개월이내 사용후기 복합성 피부타입이라 차단지수 높고, 순하고 ,유분기없는 여러 선크림을 사용하면서 트러블이 올라오거나 시간이 지나면 눈시림이 심해 눈화장 그리고 눈물까지 흘려 선크림을 거의 안바르고 다녔어요 나이드니 살이빠진 부분 얼굴 굴곡진 부분은 타서 색소침착도 생기고 잡티도 생겨 이번에 진짜 정착할 선크림을 찾아보다 반신반의로 구매했는데 정말 만족합니다. 눈시림 없고 8시간 넘게 장시간 바르고 있어도 트러블도 올라오지 않아요, 그리고 유분도 많지 않아 화장이 심하게 뭉게지거나 흘러내리지 않습니다. 바다를 살린다는 마음을 흔드는 문구에 혹한것도 있지만 리뷰가 많지 않아 고민도 했으나 구매후 이렇게 맘에 들어 찐 리뷰를 남깁니다. 부드러운 발림성과 끈적거리지 않고 산듯한 마무리감 바를시 자연스런 풀향이지만 바른 후 냄새가 안나서 편안하고 백탁없고 밀림없고 눈시림 없어 최고 만족합니다!!"
5,좋아요 허옇게 뜨는게 전혀없어요 피부에 자연스럽게 스며들고 아주 자연스러운 선크림이에요 막 하얗게 얼굴 뜨지않으니까 남자들이 쓰기에 진짜 좋고 강추에요 저희남편은 이거쓰고있고 저는 아빠도 사드렸어요 남자들은 얼굴 하얗게 되는거 싫어하더라구요 어린아이들도요 성분이 순하고 자극이없고 착한성분이어서 아이들이 쓰기 좋아요 아이들도 얼굴 하얘지는거 싫다고해서 백탁없는 선크림으로 검색했는데 딱좋은것같아요 천연성분도 가득하고 성분이좋아서 그런지 피부가 편안하고 좋은것같아요 물놀이할때나 바다 들어갈때도 환경오염을 덜 시키는거같아서 친환경적이고 좋은것같아요 피부에 흡수도 빠르고 흡수도 잘돼요 끈적거리지않고 적당히 촉촉하게 잘 피부가 잘 먹어서 좋아요 화장하기전에 저는 바르는데 화장할때도 안밀리고 화장이 잘먹어서 좋아요 그리고 여자들도 허옇게 안되니까 화장할때 너무 허옇게 안떠서 좋아요 선크림은 백탁이 없어야 좋은것같아요 그리고 촉촉하고 건조하지않아서 좋아요 피부를 자외선으로부터도 보호하지만 촉촉해서 엄청 좋아요 겨울철에 발라도 너무 건조하지도않고 딱 좋아요 데일리로 저는 화장전에 꼭 바르고있고 남편도 잘쓰고있어요 전 강추에요 특히 화장이 안밀리고 잘먹네요
